refund_id,payment_id,order_id,amount,reason,refunded_at,status
32,623,666,14972.28,Defective,2024-11-24 00:00:00,Completed
33,646,691,13364.59,Size issue,2025-06-30 00:00:00,Completed
34,668,715,26079.09,Not liked,2026-03-03 00:00:00,Completed
35,698,750,16789.48,Changed mind,2025-04-03 00:00:00,Completed
36,700,752,89381.46,Wrong Item,2025-05-21 00:00:00,Completed
37,702,754,93046.81,Changed mind,2026-02-19 00:00:00,Completed
38,750,803,17389.86,Not liked,2024-04-21 00:00:00,Completed
39,784,837,368093.97,Changed mind,2024-02-08 00:00:00,Completed
40,825,879,1815.27,Size issue,2024-03-21 00:00:00,Completed
41,834,890,13301.63,Size issue,2025-01-12 00:00:00,Completed
42,841,897,50538.37,Defective,2024-12-26 00:00:00,Completed
43,855,911,114550.87,Not liked,2024-06-30 00:00:00,Completed
44,867,924,216499.9,Changed mind,2025-08-05 00:00:00,Completed
45,878,935,188627.26,Changed mind,2024-01-12 00:00:00,Completed
46,881,938,17483.97,Not liked,2025-10-20 00:00:00,Completed
47,919,978,2912.81,Size issue,2024-04-12 00:00:00,Completed
48,955,1015,3089.79,Changed mind,2024-10-25 00:00:00,Completed
49,958,1018,2925.22,Defective,2025-09-04 00:00:00,Completed
50,960,1020,19276.76,Not liked,2026-02-24 00:00:00,Completed
51,975,1035,50075.57,Changed mind,2024-06-15 00:00:00,Completed
52,987,1048,17015.85,Size issue,2024-05-01 00:00:00,Completed
53,989,1050,306768.14,Defective,2025-04-02 00:00:00,Completed
54,993,1055,11306.17,Not liked,2024-06-07 00:00:00,Completed
55,1008,1072,3052.19,Defective,2025-04-20 00:00:00,Completed
56,1027,1093,47008.87,Changed mind,2024-07-18 00:00:00,Completed
57,1028,1094,84498.87,Changed mind,2024-05-17 00:00:00,Completed
58,1058,1126,175216.59,Wrong Item,2024-02-05 00:00:00,Completed
59,1069,1137,187006.46,Not liked,2024-11-14 00:00:00,Completed
60,1075,1143,86771.3,Size issue,2024-06-06 00:00:00,Completed
61,1088,1156,6766.17,Size issue,2024-08-31 00:00:00,Completed
62,1117,1187,383991.1,Not liked,2025-02-19 00:00:00,Completed
63,1129,1200,4256.13,Wrong Item,2024-11-25 00:00:00,Completed
64,1173,1248,2736.79,Wrong Item,2024-02-04 00:00:00,Completed
65,1177,1252,8633.52,Not liked,2024-02-07 00:00:00,Completed
66,1187,1262,121601.01,Wrong Item,2025-11-30 00:00:00,Completed
67,1204,1280,142738.47,Changed mind,2024-07-25 00:00:00,Completed
68,1212,1288,51676.27,Changed mind,2024-04-29 00:00:00,Completed
69,1217,1294,44060.19,Changed mind,2025-05-12 00:00:00,Completed
70,1221,1298,54007.66,Defective,2025-08-11 00:00:00,Completed
71,1236,1313,54925.57,Defective,2025-08-28 00:00:00,Completed
72,1239,1316,39184.32,Size issue,2024-05-26 00:00:00,Completed
73,1252,1330,4030.16,Size issue,2026-02-16 00:00:00,Completed
74,1259,1339,24332.34,Defective,2024-03-26 00:00:00,Completed
75,1269,1349,49162.88,Not liked,2025-10-05 00:00:00,Completed
76,1281,1361,27849.51,Defective,2024-03-07 00:00:00,Completed
77,1287,1367,12931.71,Defective,2025-02-04 00:00:00,Completed
78,1291,1371,31751.09,Wrong Item,2025-11-23 00:00:00,Completed
79,1341,1422,260933.36,Defective,2025-05-15 00:00:00,Completed
80,1363,1447,9085.52,Changed mind,2025-08-29 00:00:00,Completed
81,1374,1458,62388.57,Changed mind,2024-04-26 00:00:00,Completed
82,1378,1462,44569.43,Changed mind,2026-01-18 00:00:00,Completed
83,1385,1469,43754.84,Not liked,2024-10-28 00:00:00,Completed
84,1428,1514,246662.21,Wrong Item,2025-07-28 00:00:00,Completed
85,1431,1517,69908.22,Changed mind,2024-03-12 00:00:00,Completed
86,1442,1528,123720.9,Wrong Item,2024-01-26 00:00:00,Completed
87,1482,1571,12733.18,Not liked,2025-07-16 00:00:00,Completed
88,1496,1586,87621.55,Wrong Item,2025-07-19 00:00:00,Completed
89,1545,1636,218540.72,Defective,2024-07-04 00:00:00,Completed
90,1553,1644,32628.18,Not liked,2025-08-22 00:00:00,Completed
91,1579,1671,35613.66,Defective,2025-06-22 00:00:00,Completed
92,1584,1676,69582.18,Wrong Item,2024-05-02 00:00:00,Completed
93,1599,1692,137311.08,Changed mind,2025-06-21 00:00:00,Completed
94,1607,1701,76.25,Defective,2026-02-28 00:00:00,Completed
95,1620,1714,15050.97,Size issue,2025-12-24 00:00:00,Completed
96,1643,1739,115919.16,Wrong Item,2024-05-29 00:00:00,Completed
97,1707,1807,18587.31,Wrong Item,2024-09-19 00:00:00,Completed
98,1715,1815,65693.38,Not liked,2024-12-27 00:00:00,Completed
99,1752,1853,102377.48,Defective,2025-02-12 00:00:00,Completed
100,1765,1866,27459.69,Changed mind,2025-10-23 00:00:00,Completed
101,1768,1869,1605.77,Defective,2024-08-26 00:00:00,Completed
102,1778,1880,195105.42,Defective,2025-05-07 00:00:00,Completed
103,1791,1894,1302.31,Not liked,2024-02-22 00:00:00,Completed
104,1795,1898,67751.1,Defective,2024-02-15 00:00:00,Completed
105,1797,1900,25016.13,Wrong Item,2025-04-08 00:00:00,Completed
106,1817,1921,102524.65,Defective,2024-10-26 00:00:00,Completed
107,1840,1944,1293.25,Size issue,2024-10-18 00:00:00,Completed
108,1851,1955,162.24,Wrong Item,2024-02-11 00:00:00,Completed
109,1865,1970,31649.38,Wrong Item,2025-08-12 00:00:00,Completed
110,1870,1975,46571.04,Size issue,2024-07-27 00:00:00,Completed
111,1871,1976,1125.1,Size issue,2024-03-26 00:00:00,Completed
112,1893,2000,139724.46,Size issue,2025-11-12 00:00:00,Completed
113,1905,2012,17506.99,Defective,2026-01-06 00:00:00,Completed
114,1912,2021,95061.31,Changed mind,2026-02-04 00:00:00,Completed
115,1913,2022,15262.74,Changed mind,2025-06-18 00:00:00,Completed
116,1921,2030,71112.09,Not liked,2024-07-13 00:00:00,Completed
117,1940,2049,3794.45,Not liked,2026-02-26 00:00:00,Completed
118,1956,2066,182300.17,Wrong Item,2024-07-06 00:00:00,Completed
119,1973,2083,24343.92,Wrong Item,2025-02-21 00:00:00,Completed
120,2011,2121,151629.84,Changed mind,2025-07-10 00:00:00,Completed
121,2038,2148,417163.57,Not liked,2024-08-05 00:00:00,Completed
122,2075,2188,11205.01,Wrong Item,2024-07-03 00:00:00,Completed
123,2121,2234,304835.5,Wrong Item,2024-11-26 00:00:00,Completed
124,2143,2258,4670.08,Defective,2025-06-15 00:00:00,Completed
125,2144,2259,20872.81,Not liked,2024-02-27 00:00:00,Completed
126,2171,2287,30119.49,Changed mind,2025-06-11 00:00:00,Completed
127,2174,2290,24348.12,Defective,2025-05-29 00:00:00,Completed
128,2179,2295,6936.4,Wrong Item,2024-04-18 00:00:00,Completed
129,2209,2325,3194.14,Defective,2025-07-19 00:00:00,Completed
130,2222,2340,9024.39,Size issue,2025-03-15 00:00:00,Completed
131,2249,2368,100272.32,Changed mind,2024-07-06 00:00:00,Completed
132,2260,2380,24042.63,Wrong Item,2024-08-13 00:00:00,Completed
133,2288,2410,4625.11,Defective,2025-01-16 00:00:00,Completed
134,2311,2434,115367.34,Not liked,2025-08-28 00:00:00,Completed
135,2313,2436,82376.58,Not liked,2024-12-11 00:00:00,Completed
136,2316,2439,80874.76,Defective,2025-10-23 00:00:00,Completed
137,2334,2457,10644.15,Changed mind,2024-04-29 00:00:00,Completed
138,2368,2493,10836.77,Size issue,2024-03-13 00:00:00,Completed
139,2369,2494,55089.7,Size issue,2025-12-05 00:00:00,Completed
140,2403,2530,28130.63,Not liked,2024-10-29 00:00:00,Completed
141,2451,2581,26129.36,Not liked,2024-01-25 00:00:00,Completed
142,2464,2595,83199.62,Wrong Item,2024-05-22 00:00:00,Completed
143,2477,2608,66676.34,Not liked,2025-08-25 00:00:00,Completed
144,2484,2615,15739.26,Size issue,2024-05-03 00:00:00,Completed
145,2516,2648,6752.96,Defective,2024-12-20 00:00:00,Completed
146,2532,2664,217384.06,Changed mind,2024-09-27 00:00:00,Completed
147,2539,2671,156830.61,Not liked,2025-11-19 00:00:00,Completed
148,2546,2678,18968.01,Size issue,2025-03-02 00:00:00,Completed
149,2547,2679,2990.55,Changed mind,2025-06-07 00:00:00,Completed
150,2559,2691,135985.33,Defective,2025-01-03 00:00:00,Completed
151,2560,2692,18302.49,Size issue,2024-06-11 00:00:00,Completed
152,2616,2751,155603.17,Wrong Item,2024-04-13 00:00:00,Completed
153,2624,2759,74116.31,Not liked,2025-01-29 00:00:00,Completed
154,2637,2773,14356.65,Size issue,2024-12-08 00:00:00,Completed
155,2639,2775,33111.7,Defective,2024-12-04 00:00:00,Completed
156,2712,2849,145696.03,Defective,2024-04-23 00:00:00,Completed
157,2778,2921,22866.56,Changed mind,2025-03-07 00:00:00,Completed
158,2795,2939,56856.26,Not liked,2024-01-18 00:00:00,Completed
159,2799,2943,23279.2,Size issue,2025-07-03 00:00:00,Completed
160,2843,2988,328348.34,Defective,2024-06-03 00:00:00,Completed
161,2847,2994,98003.64,Changed mind,2025-11-14 00:00:00,Completed
162,2864,3013,30042.41,Not liked,2025-09-21 00:00:00,Completed
163,2876,3025,9385.96,Not liked,2025-12-30 00:00:00,Completed
164,2883,3032,8837.66,Changed mind,2025-12-30 00:00:00,Completed
165,2884,3033,8205.93,Size issue,2025-11-27 00:00:00,Completed
166,2888,3037,3258.01,Defective,2024-07-18 00:00:00,Completed
167,2893,3042,46889.66,Changed mind,2024-12-03 00:00:00,Completed
168,2895,3044,67977.48,Defective,2026-02-01 00:00:00,Completed
169,2902,3051,66150.12,Defective,2025-05-21 00:00:00,Completed
170,2903,3052,98191.71,Not liked,2024-08-21 00:00:00,Completed
171,2952,3104,5801.69,Changed mind,2024-12-08 00:00:00,Completed
172,2994,3148,228056.49,Changed mind,2024-06-23 00:00:00,Completed
173,2997,3151,18726.77,Defective,2026-02-20 00:00:00,Completed
174,3008,3162,105630.63,Size issue,2025-01-02 00:00:00,Completed
175,3010,3164,14653.12,Changed mind,2024-07-11 00:00:00,Completed
176,3012,3167,67850.22,Not liked,2024-03-07 00:00:00,Completed
177,3047,3203,273999.43,Wrong Item,2024-08-05 00:00:00,Completed
178,3050,3206,63844.18,Size issue,2024-06-23 00:00:00,Completed
179,3130,3292,22807.47,Defective,2024-03-09 00:00:00,Completed
180,3141,3304,4019.31,Size issue,2024-02-18 00:00:00,Completed
181,3151,3314,4335.12,Size issue,2025-04-23 00:00:00,Completed
182,3170,3334,113484.94,Size issue,2024-01-13 00:00:00,Completed
183,3178,3343,15488.61,Not liked,2025-06-27 00:00:00,Completed
184,3204,3371,14163.57,Not liked,2024-05-24 00:00:00,Completed
185,3210,3377,2654.42,Wrong Item,2024-04-18 00:00:00,Completed
186,3214,3381,33332.4,Defective,2025-12-17 00:00:00,Completed
187,3218,3385,19207.46,Changed mind,2025-10-21 00:00:00,Completed
188,3249,3417,31117.62,Changed mind,2024-01-16 00:00:00,Completed
189,3264,3434,223832.39,Size issue,2024-02-05 00:00:00,Completed
190,3280,3450,47126.17,Size issue,2025-12-30 00:00:00,Completed
191,3314,3485,2260.68,Not liked,2025-10-28 00:00:00,Completed
192,3320,3491,552.45,Size issue,2025-05-10 00:00:00,Completed
193,3330,3503,21660.5,Wrong Item,2025-03-11 00:00:00,Completed
194,3338,3511,8486.78,Wrong Item,2025-07-26 00:00:00,Completed
195,3350,3523,258.14,Changed mind,2024-03-17 00:00:00,Completed
196,3377,3551,140189.51,Changed mind,2024-01-29 00:00:00,Completed
197,3410,3585,297674.92,Not liked,2025-10-08 00:00:00,Completed
198,3449,3625,96420.51,Wrong Item,2026-01-03 00:00:00,Completed
199,3452,3628,8704.74,Defective,2025-01-23 00:00:00,Completed
200,3459,3636,33376.86,Not liked,2025-08-15 00:00:00,Completed
201,3461,3638,100983.69,Wrong Item,2024-10-07 00:00:00,Completed
202,3470,3647,124534.11,Wrong Item,2025-03-21 00:00:00,Completed
203,3471,3648,2056.43,Wrong Item,2024-04-08 00:00:00,Completed
204,3482,3659,6317.64,Not liked,2025-07-02 00:00:00,Completed
205,3489,3666,985.28,Not liked,2024-09-09 00:00:00,Completed
206,3495,3672,51638.51,Defective,2025-05-21 00:00:00,Completed
207,3515,3694,96133.41,Not liked,2025-03-21 00:00:00,Completed
208,3537,3716,11680.09,Defective,2024-08-04 00:00:00,Completed
209,3580,3759,20540.27,Size issue,2024-06-06 00:00:00,Completed
210,3590,3769,108391.46,Changed mind,2025-01-30 00:00:00,Completed
211,3594,3773,179343.5,Defective,2024-05-21 00:00:00,Completed
212,3624,3804,90158.7,Changed mind,2024-01-19 00:00:00,Completed
213,3629,3809,20221.76,Size issue,2025-12-06 00:00:00,Completed
214,3646,3828,7596.44,Changed mind,2024-05-19 00:00:00,Completed
215,3655,3838,124084.5,Changed mind,2025-12-04 00:00:00,Completed
216,3698,3884,19929.54,Not liked,2024-01-24 00:00:00,Completed
217,3724,3914,48820.28,Defective,2025-09-29 00:00:00,Completed
218,3738,3928,49141.84,Wrong Item,2026-01-01 00:00:00,Completed
219,3756,3947,38945.53,Wrong Item,2025-02-09 00:00:00,Completed
220,3769,3961,39378.9,Not liked,2024-06-12 00:00:00,Completed
221,3779,3971,45961.75,Defective,2024-03-27 00:00:00,Completed
222,3787,3979,7743.83,Changed mind,2025-04-20 00:00:00,Completed
223,3802,3995,329123.71,Wrong Item,2026-02-12 00:00:00,Completed
224,3850,4044,15261.32,Changed mind,2024-08-14 00:00:00,Completed
225,3883,4079,4758.77,Size issue,2026-02-22 00:00:00,Completed
226,3889,4085,3499.71,Size issue,2025-03-15 00:00:00,Completed
227,3891,4087,38932.41,Size issue,2025-11-05 00:00:00,Completed
228,3895,4091,14848.83,Not liked,2024-11-22 00:00:00,Completed
229,3904,4100,33891.96,Defective,2025-05-19 00:00:00,Completed
230,3906,4102,120446.17,Not liked,2024-01-28 00:00:00,Completed
231,3928,4126,102911.67,Wrong Item,2026-02-17 00:00:00,Completed
232,3964,4164,313696.41,Not liked,2025-04-15 00:00:00,Completed
233,4002,4203,109309.03,Changed mind,2024-10-03 00:00:00,Completed
234,4016,4217,36738.7,Defective,2025-02-23 00:00:00,Completed
235,4017,4218,378802.21,Wrong Item,2025-06-16 00:00:00,Completed
236,4038,4241,29995.73,Size issue,2024-10-05 00:00:00,Completed
237,4068,4277,9528.84,Size issue,2025-07-26 00:00:00,Completed
238,4071,4280,161598.56,Wrong Item,2024-04-08 00:00:00,Completed
239,4144,4360,79732.94,Wrong Item,2025-11-26 00:00:00,Completed
240,4182,4398,3301.48,Not liked,2026-01-23 00:00:00,Completed
241,4186,4403,1584.08,Changed mind,2024-03-17 00:00:00,Completed
242,4197,4415,189734.29,Defective,2024-09-16 00:00:00,Completed
243,4202,4420,47460.74,Defective,2024-04-18 00:00:00,Completed
244,4230,4451,11992.09,Size issue,2025-06-21 00:00:00,Completed
245,4252,4473,42342.45,Changed mind,2024-06-05 00:00:00,Completed
246,4291,4512,44533.65,Changed mind,2025-11-11 00:00:00,Completed
247,4339,4560,3381.47,Not liked,2025-10-24 00:00:00,Completed
248,4357,4579,21383.7,Not liked,2025-06-09 00:00:00,Completed
249,4426,4654,211089.93,Not liked,2024-08-20 00:00:00,Completed
250,4427,4657,1548.3,Defective,2026-02-12 00:00:00,Completed
251,4430,4661,65563.62,Changed mind,2024-04-08 00:00:00,Completed
252,4472,4703,21320.05,Defective,2024-12-08 00:00:00,Completed
253,4475,4706,103692.84,Size issue,2025-05-03 00:00:00,Completed
254,4489,4721,12106.34,Defective,2024-05-21 00:00:00,Completed
255,4514,4749,30656.98,Not liked,2025-07-29 00:00:00,Completed
256,4533,4769,226002.61,Not liked,2024-03-24 00:00:00,Completed
257,4538,4774,14249.24,Wrong Item,2024-07-25 00:00:00,Completed
258,4561,4800,8393.34,Not liked,2024-12-19 00:00:00,Completed
259,4573,4813,17423.7,Defective,2025-03-30 00:00:00,Completed
260,4578,4818,84857.08,Defective,2024-10-19 00:00:00,Completed
261,4581,4821,46236.18,Wrong Item,2025-02-19 00:00:00,Completed
262,4593,4834,9120.42,Size issue,2025-02-07 00:00:00,Completed
263,4628,4869,580.34,Not liked,2025-05-20 00:00:00,Completed
264,4679,4922,105727.86,Not liked,2024-01-14 00:00:00,Completed
265,4688,4931,41957.27,Changed mind,2025-09-07 00:00:00,Completed
266,4692,4935,17728.39,Wrong Item,2024-04-21 00:00:00,Completed
267,4737,4982,7131.69,Defective,2024-03-05 00:00:00,Completed
268,4745,4991,12306.56,Defective,2024-04-15 00:00:00,Completed
269,4762,5008,113927.15,Not liked,2025-02-07 00:00:00,Completed
270,4772,5019,72640.69,Not liked,2024-08-19 00:00:00,Completed
271,4798,5047,19875.68,Defective,2024-03-28 00:00:00,Completed
272,4821,5070,41402.51,Changed mind,2024-04-02 00:00:00,Completed
273,4824,5073,97988.47,Changed mind,2025-10-13 00:00:00,Completed
274,4838,5088,19641.15,Defective,2025-12-03 00:00:00,Completed
275,4861,5111,17908.78,Wrong Item,2025-08-02 00:00:00,Completed
276,4862,5112,363365.22,Defective,2024-07-03 00:00:00,Completed
277,4888,5138,41342.81,Defective,2024-11-08 00:00:00,Completed
278,4895,5145,152957.76,Not liked,2025-11-01 00:00:00,Completed
279,4913,5163,300783.48,Changed mind,2024-12-19 00:00:00,Completed
280,4936,5188,12564.69,Defective,2025-03-25 00:00:00,Completed
281,4938,5190,47765.55,Not liked,2025-09-16 00:00:00,Completed
282,4964,5218,1074.58,Size issue,2025-10-16 00:00:00,Completed
283,4969,5223,46176.56,Changed mind,2025-04-24 00:00:00,Completed
284,5009,5263,3616.04,Not liked,2026-01-07 00:00:00,Completed
285,5013,5268,22633.98,Size issue,2026-03-03 00:00:00,Completed
286,5017,5272,46586.82,Defective,2024-11-17 00:00:00,Completed
287,5018,5273,117443.36,Size issue,2026-02-18 00:00:00,Completed
288,5042,5300,4092.13,Not liked,2024-05-03 00:00:00,Completed
289,5044,5302,57388.42,Defective,2026-01-20 00:00:00,Completed
290,5056,5314,313.78,Changed mind,2024-06-06 00:00:00,Completed
291,5066,5325,68500.39,Changed mind,2024-12-23 00:00:00,Completed
292,5082,5343,12813.45,Not liked,2025-12-30 00:00:00,Completed
293,5132,5395,200698.78,Size issue,2025-05-13 00:00:00,Completed
294,5134,5397,397267.74,Defective,2024-04-29 00:00:00,Completed
295,5139,5402,458286.92,Size issue,2024-08-31 00:00:00,Completed
296,5149,5415,19142.98,Changed mind,2026-02-14 00:00:00,Completed
297,5162,5429,3937.19,Not liked,2024-11-20 00:00:00,Completed
298,5175,5443,6252.18,Size issue,2024-09-11 00:00:00,Completed
299,5188,5456,15886.69,Changed mind,2024-01-18 00:00:00,Completed
300,5202,5471,5588.9,Changed mind,2024-01-21 00:00:00,Completed
301,5273,5546,167298.13,Wrong Item,2026-02-25 00:00:00,Completed
302,5297,5572,28705.78,Size issue,2025-04-15 00:00:00,Completed
303,5340,5616,148290.47,Size issue,2024-10-15 00:00:00,Completed
304,5342,5618,19616.76,Size issue,2025-06-20 00:00:00,Completed
305,5372,5648,207499.78,Defective,2025-05-20 00:00:00,Completed
306,5462,5749,27516.51,Not liked,2026-01-29 00:00:00,Completed
307,5463,5750,198164.08,Not liked,2024-11-07 00:00:00,Completed
308,5464,5751,124459.36,Not liked,2025-05-25 00:00:00,Completed
309,5474,5762,30827.43,Wrong Item,2024-11-04 00:00:00,Completed
310,5486,5774,93951.4,Defective,2025-12-15 00:00:00,Completed
311,5619,5915,212763.24,Not liked,2024-07-03 00:00:00,Completed
312,5620,5916,119501.43,Wrong Item,2025-06-25 00:00:00,Completed
313,5622,5918,1603.2,Not liked,2024-06-08 00:00:00,Completed
314,5658,5958,65206.78,Not liked,2024-05-22 00:00:00,Completed
315,5711,6011,89678.03,Size issue,2025-12-25 00:00:00,Completed
316,5727,6030,83082.66,Not liked,2025-03-15 00:00:00,Completed
317,5731,6034,101005.4,Size issue,2025-10-28 00:00:00,Completed
318,5795,6101,2401.06,Not liked,2024-04-29 00:00:00,Completed
319,5807,6114,66264.37,Size issue,2025-12-30 00:00:00,Completed
320,5914,6230,26054.98,Defective,2024-12-24 00:00:00,Completed
321,5921,6237,159007.92,Wrong Item,2024-09-15 00:00:00,Completed
322,5925,6242,51950.32,Changed mind,2025-02-19 00:00:00,Completed
323,5944,6264,275256.77,Wrong Item,2024-08-16 00:00:00,Completed
324,5982,6303,17226.74,Not liked,2024-11-22 00:00:00,Completed
325,5990,6311,183330.15,Changed mind,2025-05-17 00:00:00,Completed
326,5999,6322,70141.51,Changed mind,2024-01-23 00:00:00,Completed
327,6067,6395,98897.89,Wrong Item,2025-02-19 00:00:00,Completed
328,6093,6424,19126.17,Not liked,2024-09-12 00:00:00,Completed
329,6102,6433,112091.1,Defective,2025-05-25 00:00:00,Completed
330,6126,6457,6776.66,Defective,2025-01-25 00:00:00,Completed
331,6129,6460,310648.42,Size issue,2024-02-21 00:00:00,Completed
332,6137,6468,264313.59,Not liked,2025-08-26 00:00:00,Completed
333,6140,6471,28434.15,Changed mind,2025-10-25 00:00:00,Completed
334,6178,6510,13199.1,Wrong Item,2025-06-16 00:00:00,Completed
335,6197,6530,549.98,Not liked,2026-02-24 00:00:00,Completed
336,6227,6562,68397.78,Not liked,2025-08-20 00:00:00,Completed
337,6262,6600,4005.5,Changed mind,2025-06-08 00:00:00,Completed
338,6295,6635,4734.45,Not liked,2026-01-21 00:00:00,Completed
339,6299,6639,1286.01,Changed mind,2025-05-14 00:00:00,Completed
340,6300,6640,2711.8,Wrong Item,2025-09-24 00:00:00,Completed
341,6337,6680,7478.15,Wrong Item,2024-07-22 00:00:00,Completed
342,6367,6710,112553.65,Wrong Item,2025-02-24 00:00:00,Completed
343,6389,6734,174236.07,Wrong Item,2025-04-30 00:00:00,Completed
344,6392,6737,19588.06,Wrong Item,2025-07-17 00:00:00,Completed
345,6410,6756,182751.04,Size issue,2024-10-14 00:00:00,Completed
346,6442,6790,5550.33,Changed mind,2024-07-10 00:00:00,Completed
347,6464,6812,37549.18,Size issue,2024-04-23 00:00:00,Completed
348,6496,6844,143129.32,Defective,2024-02-26 00:00:00,Completed
349,6500,6848,59718.5,Changed mind,2025-07-06 00:00:00,Completed
350,6575,6929,286608.42,Size issue,2024-10-29 00:00:00,Completed
351,6615,6969,22468.68,Wrong Item,2025-04-11 00:00:00,Completed
352,6638,6992,120563.65,Wrong Item,2024-04-22 00:00:00,Completed
353,6662,7017,126011.13,Size issue,2025-01-04 00:00:00,Completed
354,6697,7055,7548.0,Not liked,2025-03-02 00:00:00,Completed
355,6746,7108,114433.48,Changed mind,2024-06-05 00:00:00,Completed
356,6751,7113,42376.46,Defective,2024-12-04 00:00:00,Completed
357,6763,7125,57024.34,Size issue,2025-04-14 00:00:00,Completed
358,6771,7133,294684.98,Size issue,2025-09-24 00:00:00,Completed
359,6797,7162,50105.89,Size issue,2025-08-28 00:00:00,Completed
360,6856,7224,9509.15,Not liked,2024-07-14 00:00:00,Completed
361,6858,7226,54367.49,Defective,2025-03-11 00:00:00,Completed
362,6878,7248,150097.36,Size issue,2025-06-20 00:00:00,Completed
363,6971,7344,68842.03,Size issue,2024-10-26 00:00:00,Completed
364,6995,7370,35690.04,Not liked,2024-12-06 00:00:00,Completed
365,7026,7402,20372.19,Changed mind,2026-01-07 00:00:00,Completed
366,7042,7419,257522.46,Changed mind,2025-10-06 00:00:00,Completed
367,7051,7428,8950.12,Size issue,2025-03-22 00:00:00,Completed
368,7058,7436,5706.86,Defective,2024-09-23 00:00:00,Completed
369,7094,7475,70583.82,Size issue,2026-01-11 00:00:00,Completed
370,7103,7484,97938.65,Defective,2024-09-30 00:00:00,Completed
371,7115,7497,75886.57,Changed mind,2025-09-10 00:00:00,Completed
372,7128,7510,28664.47,Wrong Item,2024-01-26 00:00:00,Completed
373,7138,7521,6757.56,Size issue,2025-07-28 00:00:00,Completed
374,7155,7541,95431.85,Not liked,2024-10-07 00:00:00,Completed
375,7161,7547,24995.18,Defective,2025-11-04 00:00:00,Completed
376,7170,7556,42612.78,Size issue,2025-11-07 00:00:00,Completed
377,7196,7583,10800.18,Size issue,2024-03-30 00:00:00,Completed
378,7203,7590,189151.59,Size issue,2024-07-13 00:00:00,Completed
379,7204,7591,42793.2,Changed mind,2024-08-28 00:00:00,Completed
380,7223,7611,133503.3,Defective,2024-10-21 00:00:00,Completed
381,7239,7630,63143.72,Not liked,2024-01-17 00:00:00,Completed
382,7266,7659,26170.17,Wrong Item,2025-03-28 00:00:00,Completed
383,7293,7687,388278.44,Wrong Item,2025-11-05 00:00:00,Completed
384,7294,7688,141917.31,Size issue,2025-10-31 00:00:00,Completed
385,7301,7695,134449.17,Defective,2025-01-12 00:00:00,Completed
386,7308,7702,13896.67,Size issue,2024-06-04 00:00:00,Completed
387,7314,7708,135406.58,Not liked,2024-12-22 00:00:00,Completed
388,7363,7759,14440.85,Defective,2025-07-24 00:00:00,Completed
389,7378,7774,269322.61,Changed mind,2024-10-07 00:00:00,Completed
390,7402,7800,250.82,Changed mind,2025-03-31 00:00:00,Completed
391,7444,7842,124908.09,Size issue,2026-01-20 00:00:00,Completed
392,7458,7856,26937.39,Wrong Item,2024-05-05 00:00:00,Completed
393,7463,7861,2981.18,Not liked,2024-08-29 00:00:00,Completed
394,7473,7871,9393.21,Defective,2024-11-01 00:00:00,Completed
395,7481,7880,28180.79,Defective,2024-01-23 00:00:00,Completed
396,7538,7941,73919.9,Defective,2025-04-17 00:00:00,Completed
397,7558,7962,70404.68,Wrong Item,2024-10-21 00:00:00,Completed
